,frame,pos_x,pos_y,id
0,1.0,1152.0665380020218,171.89254204576784,A
1,1.0,766.9427816901408,689.8227699530516,B
2,2.0,1151.890444015444,171.8715526751241,A
3,2.0,766.9666961391099,689.8862363689949,B
4,3.0,1151.8695102031425,172.1038028849472,A
5,3.0,766.9690812720848,689.8733804475853,B
6,4.0,1151.973483280438,171.85168575502504,A
7,4.0,766.9261862917399,689.8002343292326,B
8,5.0,1151.8664361456892,172.09041032733975,A
9,5.0,766.970796460177,689.8457227138642,B
10,6.0,1151.8590124651505,172.2182207783231,A
11,6.0,766.9690812720848,689.8733804475853,B
12,7.0,1151.9218473285953,172.0522781112721,A
13,7.0,767.1307582260371,689.9562231759656,B
14,8.0,1151.8410978443417,172.0568477235604,A
15,8.0,766.952380952381,689.8506760728983,B
16,9.0,1151.8802952946046,172.09199208868034,A
17,9.0,766.9261862917399,689.8002343292326,B
18,10.0,1151.7676364720178,171.9816126739574,A
19,10.0,766.9261862917399,689.8002343292326,B
20,11.0,1151.8209655172413,172.0849655172414,A
21,11.0,766.9260563380282,689.7990023474179,B
22,12.0,1151.889725522704,172.07658653403334,A
23,12.0,766.9261862917399,689.8002343292326,B
24,13.0,1151.7955712082498,172.0056165550261,A
25,13.0,766.9104258443465,689.7615271659324,B
26,14.0,1151.7657738300168,172.0667676559021,A
27,14.0,766.9054726368158,689.8167983611354,B
28,15.0,1152.1301204259078,172.2134886316083,A
29,15.0,766.9106407995297,689.7483833039388,B
30,16.0,1151.7906089036055,172.0144177704194,A
31,16.0,766.9054726368158,689.8167983611354,B
32,17.0,1151.7478688449253,172.0166356471588,A
33,17.0,766.9003797838153,689.7914110429448,B
34,18.0,1151.9712986053385,172.04230165327422,A
35,18.0,766.8979532163743,689.8040935672515,B
36,19.0,1151.9817535107168,171.95761733185512,A
37,19.0,766.8979532163743,689.8040935672515,B
38,20.0,1151.8904548071387,172.0132412204951,A
39,20.0,766.8979532163743,689.8040935672515,B
40,21.0,1151.8656885136224,172.18870971462846,A
41,21.0,766.8979532163743,689.8040935672515,B
42,22.0,1151.9075661229379,172.0471385125795,A
43,22.0,766.8979532163743,689.8040935672515,B
44,23.0,1151.6878963330576,172.0167493796526,A
45,23.0,766.8979532163743,689.8040935672515,B
46,24.0,1151.802330937903,172.00306338676984,A
47,24.0,766.8951376684241,689.7896895137668,B
48,25.0,1151.6343611321881,172.044124071647,A
49,25.0,766.8979532163743,689.8040935672515,B
50,26.0,1151.6392370196943,171.99102511132534,A
51,26.0,766.8958333333333,689.762910798122,B
52,27.0,1151.5753393144696,172.1435932827237,A
53,27.0,766.8958333333333,689.762910798122,B
54,28.0,1151.6668274531423,172.0074880558618,A
55,28.0,766.8997361477573,689.7634124890061,B
56,29.0,1151.6412470355276,172.15115931017013,A
57,29.0,766.9060128429655,689.7834208990075,B
58,30.0,1151.6268824609733,171.97890266299356,A
59,30.0,766.8969162995595,689.7488986784141,B
60,31.0,1151.5988945461218,172.0026604284207,A
61,31.0,766.8997361477573,689.7634124890061,B
62,32.0,1151.649367930805,172.02007479294284,A
63,32.0,766.9133743049458,689.7155399473222,B
64,33.0,1151.6268769803003,171.9606006336961,A
65,33.0,766.9019607843137,689.7638279192274,B
66,34.0,1151.663123259934,172.01164262212097,A
67,34.0,766.9100204498977,689.7432077125329,B
68,35.0,1151.6476046463674,172.01365500492588,A
69,35.0,766.8997361477573,689.7634124890061,B
70,36.0,1151.5947550034507,172.13961352657006,A
71,36.0,766.8969162995595,689.7488986784141,B
72,37.0,1151.5321235450463,172.05579231967738,A
73,37.0,766.8997361477573,689.7634124890061,B
74,38.0,1151.6563661390228,172.1447350309704,A
75,38.0,766.8947677836567,689.7430922986479,B
76,39.0,1151.4893251870667,172.0216928674401,A
77,39.0,766.8669552669552,689.5197691197691,B
78,40.0,1151.566524686269,172.05619675735093,A
79,40.0,766.9010828211881,689.7647058823529,B
80,41.0,1151.5548375269261,172.0170951922636,A
81,41.0,766.8986526069127,689.7773872290568,B
82,42.0,1151.644413856389,172.07185134205093,A
83,42.0,766.8951376684241,689.7896895137668,B
84,43.0,1151.5208147589328,172.03534279770474,A
85,43.0,766.8979532163743,689.8040935672515,B
86,44.0,1151.5417524123106,172.05650066309963,A
87,44.0,766.8979532163743,689.8040935672515,B
88,45.0,1151.848024597175,172.2737591603671,A
89,45.0,766.8975938967136,689.7576291079812,B
90,46.0,1151.4903923047043,172.04608494984805,A
91,46.0,766.8986526069127,689.7773872290568,B
92,47.0,1151.5775881840282,172.07378101921927,A
93,47.0,766.8986526069127,689.7773872290568,B
94,48.0,1151.6076396049586,172.09921862468778,A
95,48.0,766.8969162995595,689.7488986784141,B
96,49.0,1151.486874383841,172.14100006878053,A
97,49.0,766.8969162995595,689.7488986784141,B
98,50.0,1151.7586159265143,172.07459078665653,A
99,50.0,766.8969162995595,689.7488986784141,B
100,51.0,1151.909200101633,172.15806250433096,A
101,51.0,766.8958517210945,689.7290379523389,B
102,52.0,1151.6201192934159,172.10823583390686,A
103,52.0,766.8986526069127,689.7773872290568,B
104,53.0,1151.8696263513357,172.1285987598829,A
105,53.0,766.9002647837599,689.721094439541,B
106,54.0,1151.4963416592122,172.1662423450079,A
107,54.0,766.8951376684241,689.7896895137668,B
108,55.0,1151.4457638364563,172.01230924108265,A
109,55.0,766.8997361477573,689.7634124890061,B
110,56.0,1151.6494895143487,172.1218497056659,A
111,56.0,766.8979532163743,689.8040935672515,B
112,57.0,1151.299177039635,172.16211631478805,A
113,57.0,766.8951376684241,689.7896895137668,B
114,58.0,1151.355213324207,172.0928131416838,A
115,58.0,766.8997361477573,689.7634124890061,B
116,59.0,1151.3835290347683,172.10771590102772,A
117,59.0,766.8951376684241,689.7896895137668,B
118,60.0,1151.3972630999863,172.24606885802044,A
119,60.0,766.8958333333333,689.762910798122,B
120,61.0,1151.521143851455,172.12184902809258,A
121,61.0,766.8986526069127,689.7773872290568,B
122,62.0,1151.5342415485527,172.10336681803585,A
123,62.0,766.8986526069127,689.7773872290568,B
124,63.0,1151.3522306108441,172.16170212765957,A
125,63.0,766.9002647837599,689.721094439541,B
126,64.0,1151.4614909814143,172.0744576275061,A
127,64.0,766.8995313415348,689.7765084944347,B
128,65.0,1151.5643505498774,172.12522578137504,A
129,65.0,766.9072769953051,689.7761150234742,B
130,66.0,1151.4429962957881,172.07031142817945,A
131,66.0,766.8967136150235,689.7620305164319,B
132,67.0,1151.432416363678,171.99846790606205,A
133,67.0,766.8979532163743,689.8040935672515,B
134,68.0,1151.3923126084178,172.07872272436774,A
135,68.0,766.9104258443465,689.7615271659324,B
136,69.0,1151.3710709127174,172.24215328885526,A
137,69.0,766.9023242130038,689.7558105325095,B
138,70.0,1151.4419748004846,172.09389220461458,A
139,70.0,766.9061858692465,689.7900908824391,B
140,71.0,1151.494956441999,172.14190738193486,A
141,71.0,766.9061858692465,689.7900908824391,B
142,72.0,1151.3745704467353,172.2267812142039,A
143,72.0,766.9033773861967,689.775624082232,B
144,73.0,1151.4246170753486,172.1903976921492,A
145,73.0,766.8986526069127,689.7773872290568,B
146,74.0,1151.4742364881893,172.14779939056518,A
147,74.0,766.8986526069127,689.7773872290568,B
148,75.0,1151.455579246624,172.15209665955933,A
149,75.0,766.8958333333333,689.762910798122,B
150,76.0,1151.4485410230004,172.13003776175765,A
151,76.0,766.8986526069127,689.7773872290568,B
152,77.0,1151.4309105065493,172.15077402216724,A
153,77.0,766.8791079812206,689.7884389671361,B
154,78.0,1151.4041125689816,172.17414302397472,A
155,78.0,766.9295608605953,689.8261125847332,B
156,79.0,1151.2763593218792,172.13808839299972,A
157,79.0,766.9072769953051,689.7761150234742,B
158,80.0,1151.4517317949774,172.14531968958175,A
159,80.0,766.8890845070423,689.7884389671361,B
160,81.0,1151.27634253866,172.1195321958016,A
161,81.0,766.8837893498087,689.7867019711679,B
162,82.0,1151.3859552998651,172.1595552816017,A
163,82.0,766.9054726368158,689.8167983611354,B
164,83.0,1151.5974721802445,172.10601273068642,A
165,83.0,766.8866372980909,689.801174743025,B
166,84.0,1151.2709446194585,172.11119481349587,A
167,84.0,766.8958333333333,689.762910798122,B
168,85.0,1151.4868813357184,172.12717306545568,A
169,85.0,766.898820058997,689.7979351032448,B
170,86.0,1151.4500663645933,172.06023158954642,A
171,86.0,766.8791079812206,689.7884389671361,B
172,87.0,1151.273389394357,172.36166253101737,A
173,87.0,766.8814159292035,689.8643067846607,B
174,88.0,1151.4570911755277,172.2574987406695,A
175,88.0,766.9315712187959,689.8672540381791,B
176,89.0,1151.3807260453261,172.25540171293426,A
177,89.0,766.9120329508678,689.8784936746101,B
178,90.0,1151.3887011105746,172.41627003288036,A
179,90.0,766.8820921985815,689.8374704491725,B
180,91.0,1151.3601298671604,172.29421313761802,A
181,91.0,766.9127615679339,689.8517536103742,B
182,92.0,1151.3783143612739,172.31562607795792,A
183,92.0,766.8866372980909,689.801174743025,B
184,93.0,1151.283342505962,172.36383232434414,A
185,93.0,766.8868092691622,689.8660130718954,B
186,94.0,1151.3875468935857,172.34804190685333,A
187,94.0,766.9056881815502,689.9012673150603,B
188,95.0,1151.425641025641,172.26487294469356,A
189,95.0,766.9127615679339,689.8517536103742,B
190,96.0,1151.3312495706532,172.1787456206636,A
191,96.0,766.9035788228334,689.8601005619638,B
192,97.0,1151.443833985761,172.1955222855573,A
193,97.0,766.9120329508678,689.8784936746101,B
194,98.0,1151.2649408317882,172.4053651949003,A
195,98.0,766.9172576832151,689.809988179669,B
196,99.0,1151.1883581203024,172.41607840449592,A
197,99.0,766.8868092691622,689.8660130718954,B
198,100.0,1151.337811286269,172.2503998172264,A
199,100.0,766.9127615679339,689.8517536103742,B
200,101.0,1151.3889080340937,172.4645622257449,A
201,101.0,766.9005589879375,689.8264195351574,B
202,102.0,1151.2265835502578,172.35319906836554,A
203,102.0,766.8879003558719,689.8858244365362,B
204,103.0,1151.3567827733295,172.27701361801135,A
205,103.0,766.9120329508678,689.8784936746101,B
206,104.0,1151.2712548749712,172.39759119064004,A
207,104.0,766.8758865248227,689.8614066193853,B
208,105.0,1151.2339769926048,172.4172144617913,A
209,105.0,766.9127615679339,689.8517536103742,B
210,106.0,1151.2949482486806,172.35999725820824,A
211,106.0,766.9144620811287,689.8656672545561,B
212,107.0,1151.2888127071192,172.27411724374358,A
213,107.0,766.8791079812206,689.7884389671361,B
214,108.0,1151.2693055269715,172.36472982552422,A
215,108.0,766.9127615679339,689.8517536103742,B
216,109.0,1151.4065235776816,172.26352602345196,A
217,109.0,766.8785460992908,689.8640661938534,B
218,110.0,1151.3167410458861,172.39400389060532,A
219,110.0,766.8829629629629,689.8222222222222,B
220,111.0,1151.265390158534,172.43636904353394,A
221,111.0,766.9064068497195,689.8745202243873,B
222,112.0,1151.3064339493499,172.36609628108602,A
223,112.0,766.9127615679339,689.8517536103742,B
224,113.0,1151.351267991775,172.23088873657755,A
225,113.0,766.8866372980909,689.801174743025,B
226,114.0,1151.2732811140122,172.39514909990382,A
227,114.0,766.9127615679339,689.8517536103742,B
228,115.0,1151.3364462450502,172.37462519169583,A
229,115.0,766.9127615679339,689.8517536103742,B
230,116.0,1151.2700439319055,172.43227164561594,A
231,116.0,766.8866372980909,689.801174743025,B
232,117.0,1151.2254101173726,172.44036424371382,A
233,117.0,766.9127615679339,689.8517536103742,B
234,118.0,1151.2691035206608,172.29833207839914,A
235,118.0,766.9127615679339,689.8517536103742,B
236,119.0,1151.2790108234005,172.28846417317442,A
237,119.0,766.9005589879375,689.8264195351574,B
238,120.0,1151.2118653762554,172.40609055757656,A
239,120.0,766.9120329508678,689.8784936746101,B
240,121.0,1151.3525408244832,172.3997030946671,A
241,121.0,766.8758865248227,689.8614066193853,B
242,122.0,1151.335780110219,172.46177768630946,A
243,122.0,766.8758865248227,689.8614066193853,B
244,123.0,1151.3552246317138,172.31215115747094,A
245,123.0,766.8694493783304,689.884251036116,B
246,124.0,1151.3342013888887,172.39327485380116,A
247,124.0,766.9120329508678,689.8784936746101,B
248,125.0,1151.411855114353,172.62065010437453,A
249,125.0,766.875221238938,689.8882005899704,B
250,126.0,1151.2967298783688,172.26991625019966,A
251,126.0,766.9056881815502,689.9012673150603,B
252,127.0,1151.2353035180238,172.3740154783919,A
253,127.0,766.8859571973028,689.8279097038991,B
254,128.0,1151.2114813291282,172.44586132821425,A
255,128.0,766.9120329508678,689.8784936746101,B
256,129.0,1151.3216318353593,172.30487638300778,A
257,129.0,766.9056881815502,689.9012673150603,B
258,130.0,1151.340992500399,172.40579908363537,A
259,130.0,766.8859571973028,689.8279097038991,B
260,131.0,1151.3392600697532,172.48669903576558,A
261,131.0,766.9120329508678,689.8784936746101,B
262,132.0,1151.3438757775339,172.401962129528,A
263,132.0,766.9056881815502,689.9012673150603,B
264,133.0,1151.4924174843889,172.53212562043961,A
265,133.0,766.8758865248227,689.8614066193853,B
266,134.0,1151.2945975593034,172.63330133918367,A
267,134.0,766.8758865248227,689.8614066193853,B
268,135.0,1151.2211932039056,172.39674372870502,A
269,135.0,766.8907637655417,689.9002368265245,B
270,136.0,1151.2135327342157,172.41752989869883,A
271,136.0,766.9127615679339,689.8517536103742,B
272,137.0,1151.361183340176,172.46521600291956,A
273,137.0,766.9127615679339,689.8517536103742,B
274,138.0,1151.231441447624,172.49150138402763,A
275,138.0,766.9056881815502,689.9012673150603,B
276,139.0,1151.2871538250618,172.5958550406727,A
277,139.0,766.9127615679339,689.8517536103742,B
278,140.0,1151.390206020739,172.5110547713672,A
279,140.0,766.9127615679339,689.8517536103742,B
280,141.0,1151.290084171628,172.51894431898535,A
281,141.0,766.9127615679339,689.8517536103742,B
282,142.0,1151.3753570530837,172.49713214963094,A
283,142.0,766.8966637142013,689.8647770888691,B
284,143.0,1151.2595001711743,172.6478603218076,A
285,143.0,766.8959622752725,689.8915414087827,B
286,144.0,1151.2727314181486,172.51666666666665,A
287,144.0,766.8966637142013,689.8647770888691,B
288,145.0,1151.453880713336,172.3901343235685,A
289,145.0,766.846975088968,689.8929418742586,B
290,146.0,1151.2822055137842,172.47466393255866,A
291,146.0,766.8694493783304,689.884251036116,B
292,147.0,1151.318183892311,172.45434633812457,A
293,147.0,766.8694493783304,689.884251036116,B
294,148.0,1151.353640449951,172.4574805485203,A
295,148.0,766.8694493783304,689.884251036116,B
296,149.0,1151.3603831679782,172.48726194548976,A
297,149.0,766.9064068497195,689.8745202243873,B
298,150.0,1151.296772428884,172.49566921954778,A
299,150.0,766.8694493783304,689.884251036116,B
300,151.0,1151.3264088196436,172.3218532185322,A
301,151.0,766.846975088968,689.8929418742586,B
302,152.0,1151.451424648129,172.58542167296028,A
303,152.0,766.8694493783304,689.884251036116,B
304,153.0,1151.2908349284476,172.49081669856895,A
305,153.0,766.8694493783304,689.884251036116,B
306,154.0,1151.4410544078075,172.371619464587,A
307,154.0,766.8687943262412,689.9110520094563,B
308,155.0,1151.5316371782562,172.53262012526858,A
309,155.0,766.8694493783304,689.884251036116,B
310,156.0,1151.4183612714114,172.568791792617,A
311,156.0,766.9064068497195,689.8745202243873,B
312,157.0,1151.2873028894355,172.3309406617446,A
313,157.0,766.8705185185185,689.8702222222222,B
314,158.0,1151.257506116942,172.465939493723,A
315,158.0,766.9127615679339,689.8517536103742,B
316,159.0,1151.3912843826054,172.60416953666711,A
317,159.0,766.9127615679339,689.8517536103742,B
318,160.0,1151.3021753520964,172.42959209294892,A
319,160.0,766.8966637142013,689.8647770888691,B
320,161.0,1151.3104628868803,172.51447092120878,A
321,161.0,766.8596802841919,689.8744819419775,B
322,162.0,1151.3226247436774,172.33474595579855,A
323,162.0,766.8966637142013,689.8647770888691,B
324,163.0,1151.3540993375966,172.41133191226018,A
325,163.0,766.9127615679339,689.8517536103742,B
326,164.0,1151.3906296423265,172.3832247743115,A
327,164.0,766.8769594794438,689.8473824312333,B
328,165.0,1151.3802144049005,172.3052412626574,A
329,165.0,766.8758865248227,689.8614066193853,B
330,166.0,1151.299438125257,172.49143483623408,A
331,166.0,767.2878531073446,690.1658192090396,B
332,167.0,1151.292819318908,172.45003651967497,A
333,167.0,767.3012116089038,690.1659622428853,B
334,168.0,1151.3285202673417,172.47145235977095,A
335,168.0,766.8966637142013,689.8647770888691,B
336,169.0,1151.2784249234844,172.44538851582843,A
337,169.0,766.9127615679339,689.8517536103742,B
338,170.0,1151.2685527697856,172.56432387998356,A
339,170.0,766.9127615679339,689.8517536103742,B
340,171.0,1151.2275179444975,172.4647053444886,A
341,171.0,766.9127615679339,689.8517536103742,B
342,172.0,1151.2984580995392,172.2995985584599,A
343,172.0,767.2670068027211,690.2267573696145,B
344,173.0,1151.3961842165318,172.29663608562691,A
345,173.0,767.2670068027211,690.2267573696145,B
