,frame,pos_x,pos_y,id
0,1.0,119.78421052631579,291.61052631578946,A
1,1.0,719.3621399176955,295.61728395061726,B
2,1.0,124.8215488215488,567.060606060606,C
3,1.0,469.29038854805725,570.3824130879345,D
4,2.0,120.72191528545119,289.1786372007366,A
5,2.0,719.3621399176955,295.61728395061726,B
6,2.0,124.8215488215488,567.060606060606,C
7,2.0,466.31827956989247,570.984946236559,D
8,3.0,119.92349726775956,286.03460837887064,A
9,3.0,719.3621399176955,295.61728395061726,B
10,3.0,124.78401360544217,567.0714285714286,C
11,3.0,463.4078947368421,571.0285087719298,D
12,4.0,119.22522522522522,283.4234234234234,A
13,4.0,719.0921052631579,295.5263157894737,B
14,4.0,124.8215488215488,567.060606060606,C
15,4.0,461.3378378378378,570.8513513513514,D
16,5.0,119.27358490566037,281.6698113207547,A
17,5.0,719.0921052631579,295.5263157894737,B
18,5.0,124.85833333333332,567.13,C
19,5.0,458.7848101265823,570.9050632911392,D
20,6.0,120.33018867924528,279.8018867924528,A
21,6.0,719.0921052631579,295.5263157894737,B
22,6.0,124.85833333333332,567.13,C
23,6.0,455.5963718820861,570.5555555555555,D
24,7.0,119.67015706806282,276.195462478185,A
25,7.0,719.0921052631579,295.5263157894737,B
26,7.0,124.85833333333332,567.13,C
27,7.0,453.3376344086021,569.9655913978494,D
28,8.0,118.97256515775034,272.12345679012344,A
29,8.0,719.0921052631579,295.5263157894737,B
30,8.0,124.89225589225587,567.1515151515151,C
31,8.0,451.33116883116884,569.4761904761905,D
32,9.0,119.96120689655173,269.39080459770116,A
33,9.0,719.0921052631579,295.5263157894737,B
34,9.0,124.89225589225587,567.1515151515151,C
35,9.0,448.74252873563216,570.2390804597701,D
36,10.0,119.79802955665025,264.3169129720854,A
37,10.0,719.0921052631579,295.5263157894737,B
38,10.0,124.85833333333332,567.13,C
39,10.0,445.8986666666666,570.704,D
40,11.0,119.89489489489489,259.77477477477476,A
41,11.0,719.3621399176955,295.61728395061726,B
42,11.0,124.8215488215488,567.1414141414141,C
43,11.0,443.0,571.0386904761905,D
44,12.0,119.58043117744609,255.3150912106136,A
45,12.0,719.3621399176955,295.61728395061726,B
46,12.0,124.8215488215488,567.1414141414141,C
47,12.0,441.03333333333336,570.6694444444444,D
48,13.0,119.17777777777778,251.33333333333334,A
49,13.0,719.3621399176955,295.61728395061726,B
50,13.0,124.85833333333332,567.13,C
51,13.0,438.94545454545454,570.9545454545455,D
52,14.0,119.46054750402575,247.41706924315616,A
53,14.0,719.3621399176955,295.61728395061726,B
54,14.0,124.85833333333332,567.13,C
55,14.0,436.6746666666666,570.5493333333333,D
56,15.0,120.3103448275862,243.48111658456486,A
57,15.0,719.3621399176955,295.61728395061726,B
58,15.0,124.85833333333332,567.13,C
59,15.0,435.96153846153845,569.6717948717949,D
60,16.0,120.5567190226876,240.00174520069805,A
61,16.0,719.3621399176955,295.61728395061726,B
62,16.0,124.8215488215488,567.1414141414141,C
63,16.0,436.77619047619044,569.1095238095238,D
64,17.0,119.74113475177305,235.75531914893617,A
65,17.0,719.0921052631579,295.5263157894737,B
66,17.0,124.86468646864685,567.0693069306931,C
67,17.0,436.7511737089202,568.9295774647887,D
68,18.0,119.55887230514095,232.13101160862354,A
69,18.0,719.0921052631579,295.5263157894737,B
70,18.0,124.86468646864685,567.0693069306931,C
71,18.0,436.82159624413146,569.0281690140845,D
72,19.0,119.21844660194175,228.02750809061487,A
73,19.0,719.0239651416122,294.6252723311547,B
74,19.0,124.85833333333332,567.13,C
75,19.0,436.7168949771689,569.3013698630137,D
76,20.0,119.47049441786284,225.06858054226473,A
77,20.0,719.3824130879345,295.6482617586912,B
78,20.0,124.70033670033669,567.4949494949495,C
79,20.0,435.91911764705884,569.813725490196,D
80,21.0,119.39423076923077,220.70192307692307,A
81,21.0,719.3621399176955,295.61728395061726,B
82,21.0,124.80034722222221,567.4791666666666,C
83,21.0,436.8177083333333,569.4296875,D
84,22.0,119.34323432343234,217.37953795379536,A
85,22.0,719.3150406504064,295.5609756097561,B
86,22.0,125.0060606060606,566.8545454545455,C
87,22.0,436.9632545931758,569.524934383202,D
88,23.0,119.47460317460316,213.4952380952381,A
89,23.0,719.3824130879345,295.6482617586912,B
90,23.0,124.8215488215488,567.1414141414141,C
91,23.0,436.7990196078431,569.9779411764706,D
92,24.0,119.04107424960505,208.21011058451813,A
93,24.0,719.3621399176955,295.61728395061726,B
94,24.0,124.8215488215488,567.1414141414141,C
95,24.0,436.3361823361823,570.3276353276353,D
96,25.0,119.24617737003057,204.90366972477065,A
97,25.0,719.3621399176955,295.61728395061726,B
98,25.0,124.86468646864685,567.0693069306931,C
99,25.0,436.8186666666666,570.4346666666667,D
100,26.0,118.98039215686275,200.22549019607843,A
101,26.0,719.3621399176955,295.61728395061726,B
102,26.0,124.79365079365078,566.7047619047619,C
103,26.0,436.4326923076923,570.9519230769231,D
104,27.0,118.38433515482696,195.7941712204007,A
105,27.0,719.3621399176955,295.61728395061726,B
106,27.0,124.79365079365078,566.7047619047619,C
107,27.0,436.9016393442623,570.5,D
108,28.0,117.94573643410851,191.7829457364341,A
109,28.0,719.3621399176955,295.61728395061726,B
110,28.0,124.82508250825082,567.1188118811881,C
111,28.0,436.83480825958696,570.9351032448377,D
112,29.0,118.25388601036269,188.11571675302244,A
113,29.0,719.3621399176955,295.61728395061726,B
114,29.0,124.82508250825082,567.1188118811881,C
115,29.0,436.98148148148147,571.1327160493827,D
116,30.0,118.04444444444445,184.2888888888889,A
117,30.0,719.3621399176955,295.61728395061726,B
118,30.0,124.7580128205128,566.6346153846154,C
119,30.0,436.88524590163934,570.6338797814208,D
120,31.0,118.25833333333333,180.48,A
121,31.0,719.3621399176955,295.61728395061726,B
122,31.0,124.75555555555555,566.7523809523809,C
123,31.0,436.59259259259255,571.2222222222222,D
124,32.0,118.4119658119658,177.29059829059827,A
125,32.0,719.3621399176955,295.61728395061726,B
126,32.0,124.79248366013071,567.1176470588235,C
127,32.0,436.5,571.1433333333333,D
128,33.0,118.55882352941177,174.3235294117647,A
129,33.0,719.3621399176955,295.61728395061726,B
130,33.0,124.79248366013071,567.1176470588235,C
131,33.0,436.60841423948216,571.1165048543689,D
132,34.0,117.77514792899409,170.32741617357001,A
133,34.0,719.3621399176955,295.61728395061726,B
134,34.0,124.79248366013071,567.1176470588235,C
135,34.0,436.8301886792453,571.8584905660377,D
136,35.0,117.6072072072072,166.74234234234234,A
137,35.0,719.3150406504064,295.6463414634146,B
138,35.0,124.79248366013071,567.1176470588235,C
139,35.0,436.9347826086956,571.1123188405796,D
140,36.0,117.57090239410681,162.68139963167587,A
141,36.0,719.3150406504064,295.6463414634146,B
142,36.0,124.71833333333332,567.06,C
143,36.0,436.54125412541254,571.1683168316831,D
144,37.0,117.64845173041893,158.816029143898,A
145,37.0,719.3150406504064,295.6463414634146,B
146,37.0,124.71833333333332,567.06,C
147,37.0,436.54125412541254,571.1683168316831,D
148,38.0,117.92479674796746,155.4451219512195,A
149,38.0,719.0454545454545,295.5584415584416,B
150,38.0,124.71833333333332,567.06,C
151,38.0,436.54125412541254,571.1683168316831,D
152,39.0,118.02564102564101,152.27472527472528,A
153,39.0,719.0454545454545,295.5584415584416,B
154,39.0,124.71833333333332,567.06,C
155,39.0,436.4924924924925,571.4654654654654,D
156,40.0,118.4247311827957,149.2688172043011,A
157,40.0,719.0454545454545,295.5584415584416,B
158,40.0,124.71833333333332,567.06,C
159,40.0,436.4924924924925,571.4654654654654,D
160,41.0,117.5,145.0,A
161,41.0,719.3150406504064,295.6463414634146,B
162,41.0,124.71833333333332,567.06,C
163,41.0,436.94545454545454,571.2151515151515,D
164,42.0,117.36284722222221,141.09895833333334,A
165,42.0,719.0454545454545,295.5584415584416,B
166,42.0,124.71833333333332,567.06,C
167,42.0,437.3399339933993,571.1683168316831,D
168,43.0,117.17441860465117,137.13953488372093,A
169,43.0,719.0454545454545,295.5584415584416,B
170,43.0,124.71833333333332,567.06,C
171,43.0,437.3399339933993,571.1683168316831,D
172,44.0,117.04375,132.45625,A
173,44.0,719.0454545454545,295.5584415584416,B
174,44.0,124.79248366013071,567.1176470588235,C
175,44.0,437.3399339933993,571.1683168316831,D
176,45.0,117.45386064030131,128.41996233521655,A
177,45.0,719.0921052631579,295.5263157894737,B
178,45.0,124.79248366013071,567.1176470588235,C
179,45.0,436.9347826086956,571.1123188405796,D
180,46.0,117.85897435897435,124.35164835164835,A
181,46.0,719.0921052631579,295.5263157894737,B
182,46.0,124.82508250825082,567.1188118811881,C
183,46.0,437.3399339933993,571.1683168316831,D
184,47.0,117.41431261770244,119.7306967984934,A
185,47.0,719.0921052631579,295.5263157894737,B
186,47.0,124.82508250825082,567.1188118811881,C
187,47.0,437.3399339933993,571.1683168316831,D
188,48.0,117.48306595365418,115.10516934046345,A
189,48.0,719.0921052631579,295.5263157894737,B
190,48.0,124.82508250825082,567.1188118811881,C
191,48.0,437.3915857605177,571.1165048543689,D
192,49.0,117.97297297297297,111.18558558558559,A
193,49.0,719.0921052631579,295.5263157894737,B
194,49.0,124.75577557755774,567.049504950495,C
195,49.0,437.3399339933993,571.1683168316831,D
196,50.0,117.56451612903226,106.35483870967742,A
197,50.0,719.0921052631579,295.5263157894737,B
