X1	Y1	ProbId1	X2	Y2	ProbId2	
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.2	164.13	NaN
767.45	687.6	NaN	1158.2	164.13	NaN
767.45	687.6	NaN	1158.2	164.13	NaN
767.45	687.6	NaN	1158.2	164.13	NaN
767.45	687.6	NaN	1158.2	164.13	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.45	687.6	NaN	1158.1	164.11	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.75	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.87	NaN
767.14	688.9	NaN	1158.1	164.88	NaN
767.14	688.9	NaN	1158.1	164.88	NaN
767.14	688.9	NaN	1158.1	163.9	NaN
767.14	688.9	NaN	1158.1	163.36	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.83	NaN
767.14	688.9	NaN	1158.1	162.85	NaN
767.14	688.9	NaN	1158.1	162.85	NaN
767.14	688.9	NaN	1158.1	162.85	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
767.32	687.58	NaN	1158.3	164.63	NaN
