,frame,pos_x,pos_y,id
222,28.0,903,978,G
223,28.0,987,938,H
224,29.0,620,193,A
225,29.0,1055,424,B
226,29.0,507,705,C
227,29.0,1074,913,D
228,29.0,1377,745,E
229,29.0,1027,984,F
230,29.0,916,971,G
231,29.0,985,935,H
232,30.0,620,194,A
233,30.0,1055,424,B
234,30.0,506,706,C
235,30.0,1073,917,D
236,30.0,1379,742,E
237,30.0,1018,987,F
238,30.0,921,967,G
239,30.0,983,933,H
240,31.0,619,194,A
241,31.0,1054,424,B
242,31.0,506,705,C
243,31.0,1070,918,D
244,31.0,1379,738,E
245,31.0,1012,989,F
246,31.0,922,963,G
247,31.0,979,927,H
248,32.0,619,194,A
249,32.0,1054,424,B
250,32.0,506,705,C
251,32.0,1069,919,D
252,32.0,1381,737,E
253,32.0,1006,992,F
254,32.0,922,962,G
255,32.0,978,925,H
256,33.0,618,194,A
257,33.0,1055,424,B
258,33.0,506,705,C
259,33.0,1069,918,D
260,33.0,1383,737,E
261,33.0,997,990,F
262,33.0,922,961,G
263,33.0,977,921,H
264,34.0,617,194,A
265,34.0,1055,424,B
266,34.0,506,706,C
267,34.0,1066,921,D
268,34.0,1385,734,E
269,34.0,987,990,F
270,34.0,923,960,G
271,34.0,974,918,H
272,35.0,616,194,A
273,35.0,1054,424,B
274,35.0,506,705,C
275,35.0,1061,924,D
276,35.0,1386,733,E
277,35.0,981,994,F
278,35.0,924,958,G
279,35.0,972,915,H
280,36.0,616,194,A
281,36.0,1054,424,B
282,36.0,506,706,C
283,36.0,1054,924,D
284,36.0,1386,732,E
285,36.0,968,999,F
286,36.0,924,957,G
287,36.0,972,911,H
288,37.0,615,194,A
289,37.0,1054,424,B
290,37.0,506,705,C
291,37.0,1045,925,D
292,37.0,1387,729,E
293,37.0,961,1000,F
294,37.0,922,952,G
295,37.0,972,908,H
296,38.0,614,194,A
297,38.0,1055,424,B
298,38.0,506,705,C
299,38.0,1040,930,D
300,38.0,1388,726,E
301,38.0,947,998,F
302,38.0,921,950,G
303,38.0,973,907,H
304,39.0,613,195,A
305,39.0,1054,424,B
306,39.0,506,705,C
307,39.0,1034,935,D
308,39.0,1388,725,E
309,39.0,937,998,F
310,39.0,916,947,G
311,39.0,974,906,H
312,40.0,612,196,A
313,40.0,1054,424,B
314,40.0,506,705,C
315,40.0,1023,949,D
316,40.0,1389,725,E
317,40.0,923,1003,F
318,40.0,916,943,G
319,40.0,977,906,H
320,41.0,612,197,A
321,41.0,1055,424,B
322,41.0,506,705,C
323,41.0,1021,957,D
324,41.0,1390,724,E
325,41.0,910,1002,F
326,41.0,916,940,G
327,41.0,980,907,H
328,42.0,611,197,A
329,42.0,1054,424,B
330,42.0,506,705,C
331,42.0,1021,962,D
332,42.0,1390,724,E
333,42.0,896,1003,F
334,42.0,916,937,G
335,42.0,983,907,H
336,43.0,611,198,A
337,43.0,1054,424,B
338,43.0,506,705,C
339,43.0,1020,969,D
340,43.0,1391,724,E
341,43.0,892,1003,F
342,43.0,915,936,G
343,43.0,985,908,H
344,44.0,610,199,A
345,44.0,1054,424,B
