,frame,pos_x,pos_y
0,1.0,762.4434854089601,166.46115906288532
1,2.0,762.352103960396,166.46142739273924
2,3.0,762.2317935913441,166.63920099875156
3,4.0,762.0247619047619,166.84169312169308
4,5.0,761.9259496372172,166.95582586427656
5,6.0,761.7400391900718,167.2394948835184
6,7.0,761.6828840674993,167.1330265176419
7,8.0,761.8150087260034,167.14070680628274
8,9.0,761.7377835951133,167.1719022687609
9,10.0,761.7312312312312,167.23680823680823
10,11.0,761.7954302797351,167.20713218022632
11,12.0,761.7424050632911,167.22257383966243
12,13.0,762.1932721712539,166.79184505606523
13,14.0,762.1289386401327,166.79042288557213
14,15.0,762.1735245220282,166.79675810473816
15,16.0,761.8724989357173,167.07471264367817
16,17.0,761.5715520968439,167.36121919584954
17,18.0,761.6991710296684,167.17931937172776
18,19.0,761.271122876682,167.54820207368186
19,20.0,761.4376926464112,167.48612945838838
20,21.0,761.7045256744996,167.17014795474324
21,22.0,761.7818339852238,167.14341590612776
22,23.0,761.8819622964867,167.08804627249359
23,24.0,761.842815002107,167.14538558786347
24,25.0,762.2216778934477,166.6576852418861
25,26.0,762.0966481595722,166.73678799095208
26,27.0,762.1712614870509,166.6328320802005
27,28.0,762.2046746683512,166.67256264476728
28,29.0,761.8020163020162,167.13191763191764
29,30.0,761.6291476903058,167.28583821296897
30,31.0,761.5238095238095,167.3335507719069
31,32.0,761.347442680776,167.49514991181658
32,33.0,761.6433551198256,167.2359477124183
33,34.0,761.7761904761904,167.0155844155844
34,35.0,761.8031176596198,167.0367285927824
35,36.0,761.7095418242959,167.25094577553594
36,37.0,762.1349402554594,166.7849196538937
37,38.0,762.286951144094,166.6936714079571
38,39.0,762.1621958827199,166.86650031191516
39,40.0,762.3153781157582,166.81389945078158
40,41.0,762.4661089661089,166.84491634491636
41,42.0,762.3531849912739,167.28730366492147
42,43.0,761.6930358350237,168.3615055217489
43,44.0,761.5564066852368,168.73189415041782
44,45.0,761.8612099644129,168.52597864768683
45,46.0,761.859851211903,168.9920806335493
46,47.0,761.3662203429644,169.9090909090909
47,48.0,760.8833554670208,170.73196104471003
48,49.0,760.0958674218585,172.10216068806375
49,50.0,758.595670995671,174.24978354978353
50,51.0,757.4701707695718,175.9225992459525
51,52.0,756.1967787114846,177.61974789915968
52,53.0,755.1585225969259,178.822665749025
