,frame,pos_x,pos_y
0,3.0,659.4414622414622,288.9224627224627
1,4.0,659.5405561993048,291.3853804557744
2,5.0,659.450531400966,294.11420289855073
3,6.0,659.4713106889271,296.5653425446172
4,7.0,659.6096948628814,299.2498068752414
5,8.0,659.680531484691,301.9558058925477
6,9.0,659.7260458839406,304.47917871602084
7,10.0,659.6909562211981,306.94134024577573
8,11.0,659.6998652809853,309.5481139337952
9,12.0,659.6911130284728,312.080337455661
10,13.0,659.7038210445468,314.59975038402456
11,14.0,659.6720260311992,317.07809359747347
12,15.0,659.6925584963559,319.6313770617568
13,16.0,659.755996929572,322.1648436000767
14,17.0,659.7438626774069,324.7845224395857
15,18.0,659.5753594211177,327.500047605446
16,19.0,659.6017463933181,329.99259681093395
17,20.0,659.5346326550109,332.53167096589283
18,21.0,659.6228170083522,334.89350797266513
19,22.0,659.5045428733674,337.57467348097674
20,23.0,659.5043197569543,340.14848571157313
21,24.0,659.518972895863,342.7661436043747
22,25.0,659.7339615457832,345.2151151722825
23,26.0,659.8049828178695,347.78970981290564
24,27.0,659.9089258409786,350.47916666666663
25,28.0,659.912830840046,352.97324510932106
26,29.0,659.791511327789,355.42902208201895
27,30.0,659.9564464955292,358.0143255456206
28,31.0,660.0414037100783,360.6673360107095
29,32.0,660.1035932721711,363.09957951070334
30,33.0,660.0756797870316,365.73302909298343
31,34.0,660.2154240182128,368.19578827546957
32,35.0,660.2422690191613,370.67558338076265
33,36.0,660.2907375643225,373.19039451114924
34,37.0,660.305144267274,375.7241837509491
35,38.0,660.3503858245213,378.2666476136039
36,39.0,660.4361388492629,380.892629576795
37,40.0,660.3394181403308,383.38438866704695
38,41.0,660.4006849315068,385.8819444444444
39,42.0,660.3618558661342,388.3817265639855
40,43.0,660.4265151515151,390.82528409090907
41,44.0,660.4643939393939,393.31240530303023
42,45.0,660.4965928449744,395.6713041832292
43,46.0,660.5305635148042,398.2558739255014
44,47.0,660.5383228988807,400.549041927528
45,48.0,660.7224602494524,403.02703989336374
46,49.0,660.8558455214605,405.543925054966
47,50.0,660.8582594604899,407.91716709560575
48,51.0,660.7915241353097,410.52831622957046
49,52.0,660.8172410519319,412.95025159024016
50,53.0,660.84750761035,415.45690639269407
51,54.0,660.9618883462606,417.95643014459444
52,55.0,661.3801519468185,420.57150997150995
53,56.0,661.4098050350179,422.979178497066
54,57.0,661.3718820861678,425.38775510204084
55,58.0,661.460389919163,427.87484545886826
56,59.0,661.4682630178639,430.27679589509694
57,60.0,661.7261768082664,432.86863758132415
58,61.0,661.6723907651211,435.0546651402404
59,62.0,661.8028008002286,437.5392016766695
60,63.0,661.7487727403985,439.8224083164886
61,64.0,662.0039283318961,442.2258311775414
62,65.0,661.9263610315186,444.56170009551096
63,66.0,661.8731513083048,446.96729237770194
64,67.0,661.965990282938,449.2228255692102
65,68.0,661.9026388491949,451.5271029818043
66,69.0,661.9227839664857,453.8687993906502
67,70.0,661.9920997525223,456.13458975823335
