X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
506.24	697.89	NaN	623.39	196.41	NaN	915.75	963.1	NaN	972.68	930.67	NaN	1056.7	418.54	NaN	1016.6	989.85	NaN	1079.4	916.11	NaN	1379.8	743.79	NaN
506.48	698.46	NaN	623.29	196.33	NaN	916.25	961.76	NaN	971.65	927.15	NaN	1056.7	418.51	NaN	1008.9	987.54	NaN	1079	915.84	NaN	1380.9	743.88	NaN
506.38	698.07	NaN	622.83	196.45	NaN	916.69	960.87	NaN	969.19	924.38	NaN	1056.6	418.77	NaN	996.3	988.28	NaN	1076	917.92	NaN	1383.7	740.18	NaN
506.39	698.48	NaN	621.63	196.33	NaN	917.38	959.13	NaN	967.42	921.76	NaN	1056.7	418.66	NaN	990.07	991.82	NaN	1073.7	920.4	NaN	1385.1	738.21	NaN
506.33	698.75	NaN	621.01	195.97	NaN	917.64	958.07	NaN	966.25	916.18	NaN	1056.6	418.73	NaN	977.89	997.81	NaN	1064.7	923.62	NaN	1385	737.02	NaN
506.38	698.48	NaN	619.7	195.78	NaN	916.45	954.3	NaN	966.58	912.55	NaN	1056.7	418.66	NaN	973	999.02	NaN	1058.3	923.62	NaN	1385.9	735.17	NaN
506.4	698.57	NaN	619.21	195.9	NaN	913.46	951.22	NaN	966.96	911.48	NaN	1056.6	418.57	NaN	957.07	996.08	NaN	1051.4	927.31	NaN	1386.6	732.71	NaN
506.41	698.58	NaN	618.6	196.79	NaN	909.28	948.66	NaN	967.74	910.22	NaN	1056.6	418.57	NaN	949.85	995.39	NaN	1044.5	931.96	NaN	1386.1	732.27	NaN
506.42	698.54	NaN	617.16	197.98	NaN	909.09	945.15	NaN	970.48	909.46	NaN	1056.6	418.6	NaN	935.35	1003.5	NaN	1032.6	945.91	NaN	1386.3	732.27	NaN
506.41	698.47	NaN	616.47	198.49	NaN	909.06	940.82	NaN	973.76	908.73	NaN	1056.6	418.57	NaN	920.63	1001.9	NaN	1030.3	953.09	NaN	1387.3	731.44	NaN
506.37	698.37	NaN	617.58	198.82	NaN	908.82	936.97	NaN	976.98	908.07	NaN	1056.6	418.49	NaN	906.81	1002.3	NaN	1029.5	958.66	NaN	1387.7	731	NaN
506.36	698.11	NaN	616.68	199.39	NaN	907.98	934.9	NaN	979.27	908.96	NaN	1056.5	418.72	NaN	902.02	1002.1	NaN	1028.4	961.97	NaN	1387.7	731.12	NaN
506.29	698.28	NaN	616.03	200.57	NaN	910.24	933.93	NaN	981.22	911.17	NaN	1056.6	418.4	NaN	891.56	1005.2	NaN	1025	964.72	NaN	1388.4	730.29	NaN
506.28	698.69	NaN	615.54	202.55	NaN	912.63	933.57	NaN	981.9	913.35	NaN	1056.7	418.45	NaN	883.55	1005.4	NaN	1021.7	966.63	NaN	1388.6	730	NaN
506.18	698.26	NaN	613.93	205.04	NaN	916.76	933.24	NaN	982.61	913.69	NaN	1056.6	418.44	NaN	871.55	998.73	NaN	1018.9	967.62	NaN	1388.4	729.83	NaN
506.18	698.33	NaN	612.18	208.31	NaN	920.77	931.52	NaN	983.27	913.59	NaN	1056.6	418.4	NaN	862.43	993.51	NaN	1014.2	964.54	NaN	1387.8	730.12	NaN
506.23	698.6	NaN	608.1	212.24	NaN	921.31	930.58	NaN	986.44	913.6	NaN	1056.6	418.4	NaN	853.06	990.4	NaN	1014.2	961.53	NaN	1388.5	729.13	NaN
506.27	698.71	NaN	604.59	213.78	NaN	919.73	927.76	NaN	991.56	913.5	NaN	1056.6	418.44	NaN	845.26	984.76	NaN	1015.8	959.27	NaN	1388.4	729.27	NaN
506.25	698.64	NaN	598.31	218.44	NaN	919.59	923.11	NaN	998.46	913.74	NaN	1056.6	418.4	NaN	832.86	970.96	NaN	1015.8	953.7	NaN	1388.4	728.99	NaN
506.12	698.15	NaN	594.48	223.19	NaN	919.97	919.99	NaN	1007.7	914.86	NaN	1056.6	418.4	NaN	827.92	965.08	NaN	1018	951.51	NaN	1388.4	728.9	NaN
506.11	698.07	NaN	592.18	226.65	NaN	920.14	917.01	NaN	1018.3	913.72	NaN	1056.5	418.5	NaN	813.85	961.74	NaN	1016.5	950.8	NaN	1388.2	729.05	NaN
506.2	698.55	NaN	586.98	228.61	NaN	920.22	914.2	NaN	1029.9	914.96	NaN	1056.5	418.5	NaN	802.42	961.34	NaN	1016.1	950.1	NaN	1388.2	729.05	NaN
506.2	698.55	NaN	582.74	230.04	NaN	920.35	912.6	NaN	1044.3	916.28	NaN	1056.6	418.4	NaN	790.39	950.9	NaN	1013.5	946.34	NaN	1388.4	728.9	NaN
506.16	698.35	NaN	581.47	229.71	NaN	924.48	908.52	NaN	1055.9	917.6	NaN	1056.6	418.4	NaN	781.12	947.76	NaN	1013.4	943.1	NaN	1388.4	729.14	NaN
