X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	
327.37	359.59	NaN	120.71	464.8	NaN	376.11	174.24	NaN	765.68	215.37	NaN	126.05	67.122	NaN
331.44	363.08	NaN	120.52	467	NaN	373.93	175.58	NaN	759.36	221.59	NaN	126.21	67.974	NaN
333.35	364.87	NaN	120.19	469.68	NaN	371.5	177.31	NaN	752.3	228.27	NaN	125.58	68.635	NaN
335.34	366.52	NaN	120.45	470.48	NaN	369.62	178.66	NaN	746.51	233.59	NaN	125.93	70.069	NaN
340.77	370.97	NaN	123.16	472.22	NaN	367.39	179.78	NaN	741.73	238.23	NaN	126.18	70.685	NaN
344.42	376.04	NaN	125.05	473.42	NaN	363.41	181.85	NaN	736.7	243.01	NaN	124.57	72.561	NaN
346.19	380	NaN	124.43	471.05	NaN	360.23	182.16	NaN	731.61	247.6	NaN	122.57	74.349	NaN
347.46	382	NaN	121.6	466.21	NaN	354.61	180.03	NaN	727.23	251.77	NaN	119.14	78.741	NaN
349.3	386.66	NaN	120.97	463	NaN	350.23	176.17	NaN	722.53	256.08	NaN	117.99	83.88	NaN
350.84	390.25	NaN	120	459.76	NaN	345.57	171.56	NaN	718.85	259.49	NaN	117.82	87.346	NaN
352.04	393.76	NaN	121.55	455.93	NaN	342.37	168.25	NaN	713.47	262.87	NaN	117.58	91.277	NaN
353.15	396.63	NaN	123.83	451.77	NaN	338.17	163.29	NaN	708.17	260.59	NaN	117.3	94.168	NaN
353.88	398.9	NaN	127.68	442.89	NaN	335.71	160.49	NaN	700.88	252.88	NaN	116.89	97.886	NaN
355.03	402.31	NaN	131.06	435.54	NaN	333.21	157.43	NaN	698.22	247.78	NaN	116.54	101.34	NaN
355.49	405.63	NaN	134.69	427.94	NaN	332.05	153.16	NaN	696.42	244.16	NaN	116.33	103.87	NaN
354.34	408.32	NaN	137.77	421.53	NaN	333.38	148.13	NaN	694.24	240.63	NaN	116.75	104.65	NaN
352.53	413.4	NaN	140.34	415.93	NaN	335.8	141.85	NaN	692.1	237.3	NaN	115.78	107.95	NaN
350.73	419.55	NaN	143.46	408.13	NaN	338.38	135.71	NaN	690.31	234.71	NaN	117.09	106.81	NaN
349.25	424.1	NaN	144.72	404.38	NaN	340.83	129.67	NaN	688.11	231.47	NaN	116.56	108.61	NaN
347.48	428.6	NaN	146.96	398.64	NaN	343.15	124.29	NaN	683.6	228.46	NaN	116.44	112.93	NaN
346.05	432.48	NaN	149.02	393.02	NaN	345.33	120.38	NaN	679.68	226.65	NaN	117.79	117.71	NaN
344.41	436.28	NaN	149.89	388.04	NaN	349.11	116.63	NaN	674.86	224.52	NaN	119.38	121.72	NaN
342.83	438.64	NaN	150.25	378.98	NaN	353.47	113.31	NaN	669.79	222.49	NaN	120.98	126.63	NaN
339.55	440.73	NaN	150.89	370.73	NaN	357.73	110.27	NaN	666.38	221.07	NaN	121.85	129.74	NaN
333.25	439.78	NaN	151.41	363.52	NaN	361.04	107.81	NaN	662.55	219.31	NaN	122.7	132.93	NaN
326.29	438.13	NaN	151.79	356.57	NaN	364.95	104.89	NaN	659.38	217.95	NaN	123.55	135.79	NaN
319.77	437.41	NaN	151.97	350.27	NaN	368.41	102.24	NaN	656.29	216.41	NaN	124.64	138.32	NaN
314.04	436.93	NaN	152.13	344.61	NaN	370.52	100.38	NaN	653.53	215.11	NaN	125.66	140.97	NaN
308.2	436.3	NaN	152.17	338.43	NaN	373.24	98.25	NaN	650.29	213.39	NaN	127.79	145.28	NaN
303.06	435.8	NaN	152.38	332.9	NaN	376.21	95.883	NaN	647.61	211.91	NaN	129.75	148.3	NaN
299.6	435.17	NaN	152.75	328.04	NaN	379.26	93.289	NaN	644.81	210.36	NaN	131.69	151.69	NaN
297.24	434.79	NaN	153.65	324.29	NaN	381.17	91.701	NaN	642.72	209.24	NaN	132.86	154.08	NaN
293.92	434.57	NaN	156.9	319.03	NaN	382.76	90.3	NaN	640.07	206.61	NaN	134.27	157.01	NaN
292.63	434.39	NaN	160.01	314.93	NaN	384.84	88.543	NaN	637.45	202.37	NaN	134.96	158.71	NaN
290.52	434.24	NaN	164.19	310.05	NaN	387.89	85.959	NaN	634.35	197.59	NaN	135.58	161.18	NaN
289.07	434.15	NaN	166.69	307.3	NaN	388.78	85.193	NaN	631.59	193.04	NaN	136.16	163.25	NaN
286.08	434.08	NaN	169.67	304.85	NaN	391.52	83.73	NaN	629.6	188.73	NaN	136.84	165.92	NaN
285.24	434.26	NaN	172.43	303.33	NaN	393.69	82.953	NaN	628.14	186.01	NaN	137.52	168.88	NaN
282.96	434.75	NaN	175.73	301.58	NaN	395.74	82.549	NaN	626.36	181.78	NaN	138.18	171.35	NaN
280.59	435.34	NaN	179.19	299.72	NaN	397.77	82.052	NaN	624.76	178.93	NaN	138.86	173.66	NaN
277.79	435.65	NaN	182.55	298.1	NaN	400.9	80.849	NaN	618.49	173.37	NaN	139.66	176.93	NaN
274.42	436.13	NaN	184.22	297.04	NaN	402.29	79.831	NaN	614.79	171.23	NaN	140.19	179.12	NaN
269.73	437.47	NaN	189.1	294.26	NaN	404.55	78.234	NaN	610.42	169.32	NaN	140.24	181.62	NaN
268.28	438.63	NaN	192.5	290.66	NaN	408.03	75.258	NaN	605.93	167.31	NaN	140.03	184.53	NaN
268.97	442.38	NaN	195.64	286.53	NaN	409.86	73.171	NaN	601.91	165.62	NaN	139.16	187.91	NaN
273.17	448.34	NaN	197.32	283.71	NaN	411.87	70.956	NaN	598.19	163.89	NaN	138.36	191.35	NaN
276.9	453.64	NaN	198.71	281.28	NaN	413.2	69.391	NaN	594.27	162.35	NaN	136.97	196.34	NaN
280.66	459.81	NaN	200.55	278.02	NaN	415.49	67.191	NaN	589.41	162.07	NaN	136.13	199.91	NaN
283.41	464.82	NaN	201.92	276.68	NaN	417.16	65.403	NaN	583.41	165.83	NaN	134.7	204.02	NaN
286.1	470.29	NaN	204.71	274.77	NaN	419	63.805	NaN	576.06	170.43	NaN	133.33	207.85	NaN
288.38	474.85	NaN	208.95	272.63	NaN	418.44	63.307	NaN	569.58	174.18	NaN	131.47	212.65	NaN
290.84	480.03	NaN	211.52	271.08	NaN	419.4	62.124	NaN	562.92	178.99	NaN	130.45	215.76	NaN
297.97	482.08	NaN	214.21	269.86	NaN	420.73	62.367	NaN	557.13	183.35	NaN	129.49	219.46	NaN
307.83	475.59	NaN	215.73	269.01	NaN	422.09	62.359	NaN	551.47	187.39	NaN	129.08	221.48	NaN
321.57	467.43	NaN	219.02	266.92	NaN	423.45	63.277	NaN	546.42	191.19	NaN	128.73	223.18	NaN
333.02	461.83	NaN	222.81	262.84	NaN	424.56	63.571	NaN	541.66	194.69	NaN	128.63	223.38	NaN
343.84	456.48	NaN	224.73	259.21	NaN	425.61	64.662	NaN	536.99	198.11	NaN	128.63	223.6	NaN
353.3	452.27	NaN	226.5	254.73	NaN	426.82	66.646	NaN	532.33	201.75	NaN	128.15	225.76	NaN
363.3	448.13	NaN	227.79	250.3	NaN	428.01	68.521	NaN	528.67	204.39	NaN	127.86	226.68	NaN
370.19	445.61	NaN	228.85	247.54	NaN	428.91	69.36	NaN	524.51	207.3	NaN	127.49	228.14	NaN
378.45	442.56	NaN	229.67	243.91	NaN	429.99	70.44	NaN	520.47	210.24	NaN	127.09	229.32	NaN
387.51	439.36	NaN	230.2	242.29	NaN	430.74	71.925	NaN	516.34	213.15	NaN	126.7	230.97	NaN
394.75	436.98	NaN	229.28	238.01	NaN	432.2	74.773	NaN	513.69	215.12	NaN	126.52	231.6	NaN
399.9	435.33	NaN	226.41	233.59	NaN	434.78	78.145	NaN	510.07	217.87	NaN	125.98	234.02	NaN
405.75	433.53	NaN	224.35	231.2	NaN	437.97	81.767	NaN	506.97	220.38	NaN	125.97	234.33	NaN
408.96	432.52	NaN	221.95	228.38	NaN	440.69	85.173	NaN	503.59	223.05	NaN	125.8	237.08	NaN
412.23	431.41	NaN	220.41	226.9	NaN	443.25	88.08	NaN	500.58	225.25	NaN	127.08	244.74	NaN
414.54	430.69	NaN	217.29	224.37	NaN	445.91	91.12	NaN	498.11	226.98	NaN	127.55	245.39	NaN
417.53	430.06	NaN	214.96	223.2	NaN	448.2	93.52	NaN	495.97	228.77	NaN	128.31	248.96	NaN
420.8	429.18	NaN	212.79	221.81	NaN	449.83	95.247	NaN	493.77	233.49	NaN	129.15	252.04	NaN
425.12	427.9	NaN	210.33	219.58	NaN	451.69	97.667	NaN	492.51	239.64	NaN	130.87	258.6	NaN
428.08	427.12	NaN	208.27	217.95	NaN	454.01	100.96	NaN	491.67	245.08	NaN	131.82	260.83	NaN
429.37	426.67	NaN	207.12	216.5	NaN	455.94	103.64	NaN	491.14	252.59	NaN	134.13	266.15	NaN
429.85	427.06	NaN	205.96	212.5	NaN	457.94	105.97	NaN	490.91	256.8	NaN	134.88	268.17	NaN
429.96	426.35	NaN	205.44	207.95	NaN	459.84	108.09	NaN	490.54	262.8	NaN	136.22	271.21	NaN
432	428.64	NaN	205.31	205.23	NaN	461.41	110.11	NaN	486.95	269.51	NaN	136.95	273.12	NaN
432.86	430.77	NaN	205.44	201.86	NaN	463.28	112.25	NaN	482.7	275.63	NaN	137.29	277.64	NaN
432.98	431.45	NaN	205.47	198.72	NaN	465.25	113.84	NaN	476.93	284.18	NaN	137.52	277.09	NaN
434.29	434.57	NaN	205.67	194.73	NaN	468.76	115.81	NaN	472.33	290.84	NaN	137.15	279.77	NaN
434.63	436.85	NaN	204.97	192.74	NaN	471.15	117.08	NaN	469.17	295.2	NaN	136.84	281.88	NaN
434.8	438.84	NaN	203.98	190.07	NaN	473.44	118.1	NaN	465.34	300.03	NaN	136.38	284.08	NaN
436.08	441.31	NaN	203.11	188	NaN	476.99	119.8	NaN	460.19	306.79	NaN	135.99	285.93	NaN
439.59	444	NaN	201.94	185.24	NaN	479.73	121.04	NaN	456.62	311.18	NaN	135.37	288.83	NaN
442.4	444.88	NaN	201.17	183.12	NaN	482.13	122.11	NaN	453.13	315.72	NaN	134.88	290.91	NaN
445.2	445.77	NaN	199.26	181.32	NaN	485.13	122.48	NaN	449	320.83	NaN	134.29	292.99	NaN
448.13	446.43	NaN	196.64	180.47	NaN	487.25	120.89	NaN	446.55	324.06	NaN	133.96	293.93	NaN
450.75	447.3	NaN	193.15	180.49	NaN	490.65	117.77	NaN	443.12	328.39	NaN	133.34	296.43	NaN
453.36	447.76	NaN	191.74	180.54	NaN	493.9	113.57	NaN	440.02	332.21	NaN	133.41	299.74	NaN
455.73	448.17	NaN	189.56	180.7	NaN	495.87	110.4	NaN	437.18	335.68	NaN	134.3	304.94	NaN
456.85	448.35	NaN	188.26	180.96	NaN	497.91	107.13	NaN	434.7	338.98	NaN	135.17	308.51	NaN
460.21	448.87	NaN	187.38	181.32	NaN	498.56	104.71	NaN	433.35	344.46	NaN	138.81	314.41	NaN
461.42	449.03	NaN	186.23	181.11	NaN	499.74	101.56	NaN	431.84	351.83	NaN	150.13	308.89	NaN
462.28	449.04	NaN	185.05	181.53	NaN	501.39	97.133	NaN	430.25	359.57	NaN	160.84	300.21	NaN
463.07	449.2	NaN	183.33	182.07	NaN	502.86	93.747	NaN	429.26	366.1	NaN	169.23	294.47	NaN
465.26	449.62	NaN	180.82	182.65	NaN	504.19	90.291	NaN	428.59	371.76	NaN	179.29	287.36	NaN
467	449.8	NaN	179	182.91	NaN	504.87	88.809	NaN	427.76	377.9	NaN	185.16	283.31	NaN
468.76	449.92	NaN	177.19	183.16	NaN	506.52	84.67	NaN	427.38	381.39	NaN	193.17	277.83	NaN
469.31	449.97	NaN	175.95	183.49	NaN	507.03	81.691	NaN	419.96	388.79	NaN	199.94	273.11	NaN
474.1	448.6	NaN	174.34	183.61	NaN	504.3	76.173	NaN	413.69	392.01	NaN	205.84	268.82	NaN
478.23	446.05	NaN	172.32	183.52	NaN	500.95	71.87	NaN	406.73	395.42	NaN	211.64	264.76	NaN
481.72	444.17	NaN	173.49	183.39	NaN	498.14	68.847	NaN	401.05	398.39	NaN	217.33	260.76	NaN
485.57	441.66	NaN	171.88	184.96	NaN	494.45	65.348	NaN	395.37	401.85	NaN	222.52	257.42	NaN
488.93	440.14	NaN	169.79	188.5	NaN	491.66	62.676	NaN	390.31	405.23	NaN	227.53	255.93	NaN
490.71	438.55	NaN	168.79	190.95	NaN	489.45	60.549	NaN	386.53	407.97	NaN	233.63	256.5	NaN
492.97	431.8	NaN	167.51	193.54	NaN	486.83	58.057	NaN	382.48	411.25	NaN	240.9	261.03	NaN
491.88	426.34	NaN	166.59	195.83	NaN	485.64	56.797	NaN	378.51	414.46	NaN	244.11	263.22	NaN
491.14	418.73	NaN	166.02	199.48	NaN	483.78	54.769	NaN	375.52	417.01	NaN	247.09	265.44	NaN
490.87	411.33	NaN	165.89	201.44	NaN	481.95	52.899	NaN	371.85	420.23	NaN	248.75	267.61	NaN
490.94	405.58	NaN	165.59	203.99	NaN	480.03	50.932	NaN	369.25	422.74	NaN	249.67	271.39	NaN
491.17	400.14	NaN	165.17	207.85	NaN	478.45	49.26	NaN	366.42	425.49	NaN	249.77	274.22	NaN
491.34	394.97	NaN	163.01	211.91	NaN	476.61	47.101	NaN	364.29	428.8	NaN	249.74	277.85	NaN
491.66	390.33	NaN	159.61	215.23	NaN	474.99	45.268	NaN	364.01	432.82	NaN	249.59	280.27	NaN
492.06	386.31	NaN	157.64	216.5	NaN	473.34	43.447	NaN	364.32	435.87	NaN	248.03	284.04	NaN
492.64	380.88	NaN	154.92	218.64	NaN	471.72	41.722	NaN	365.14	440.12	NaN	246.91	286.52	NaN
492.73	378.63	NaN	152.59	222.94	NaN	470.26	40.25	NaN	366	444.13	NaN	245.83	289.22	NaN
494.9	374.09	NaN	152.37	227.33	NaN	468.36	38.319	NaN	366.72	447.24	NaN	245.08	291.07	NaN
498.59	370.46	NaN	155.7	235.05	NaN	466.64	36.378	NaN	367.52	450.7	NaN	244.02	293.75	NaN
500.2	369.48	NaN	157.95	238.6	NaN	465.69	35.257	NaN	368.23	453.6	NaN	244.29	294.54	NaN
504.27	366.13	NaN	160.24	241.87	NaN	464.68	34.452	NaN	368.99	456.43	NaN	245.95	298.45	NaN
507.19	363.69	NaN	162.17	244.99	NaN	462.4	33.674	NaN	371.32	459.65	NaN	249.15	304.38	NaN
509.06	359.46	NaN	164.28	248.24	NaN	457.91	33.452	NaN	377.64	463.54	NaN	252.32	310.24	NaN
509.07	354.1	NaN	166.62	251.85	NaN	452	33.398	NaN	381.42	465.34	NaN	255.15	315.46	NaN
509.64	347.74	NaN	168.05	254.36	NaN	446.41	33.189	NaN	386.77	467.96	NaN	257.71	320.09	NaN
510.52	341.2	NaN	170.17	258.21	NaN	440.97	33.173	NaN	392.08	469.84	NaN	259.95	323.89	NaN
510.86	338.65	NaN	171.41	260.36	NaN	436.49	33.082	NaN	398.73	469.01	NaN	262.12	327.45	NaN
511.69	335.23	NaN	172.38	261.83	NaN	430.16	33.221	NaN	408	466.36	NaN	267.78	330.78	NaN
513.23	329.83	NaN	174.5	263.92	NaN	426.03	33.51	NaN	413.57	465.06	NaN	272.35	325.08	NaN
514.1	325.17	NaN	178.72	266.68	NaN	422.04	33.531	NaN	419.03	463.69	NaN	273.95	316.43	NaN
515.31	319.85	NaN	183.8	268.66	NaN	418.35	33.861	NaN	425.2	462.32	NaN	276.64	307.22	NaN
516.29	315.59	NaN	187.27	269.76	NaN	415.01	34.112	NaN	430.76	461.25	NaN	280.81	296.73	NaN
517.49	311	NaN	193.31	271.4	NaN	411.22	34.413	NaN	435.63	460.31	NaN	283.87	287.05	NaN
518.51	306.82	NaN	197.73	272.6	NaN	407.39	34.649	NaN	440.95	459.4	NaN	287.28	277.45	NaN
519.17	303.28	NaN	202.12	273.57	NaN	405.29	34.71	NaN	445.32	458.85	NaN	290.77	268.7	NaN
519.96	299.64	NaN	207.61	275.11	NaN	401.04	35.118	NaN	449.47	458.33	NaN	295	262.03	NaN
520.53	296.9	NaN	213.01	276.57	NaN	398.02	35.968	NaN	454.16	457.64	NaN	301.43	259.7	NaN
521.32	293.03	NaN	217.88	277.87	NaN	393.53	37.817	NaN	457.76	457.16	NaN	309.62	265.18	NaN
521.72	290.67	NaN	221.72	278.89	NaN	388.2	40.549	NaN	461.67	456.71	NaN	317.99	271.39	NaN
522.21	287.81	NaN	226.22	279.57	NaN	383.79	42.667	NaN	464.76	456.46	NaN	326.79	277.26	NaN
522.63	285.56	NaN	229.75	279.04	NaN	380.62	44.283	NaN	468.72	455.92	NaN	334.66	282.93	NaN
523.05	283.25	NaN	234.43	275.74	NaN	377.55	46.302	NaN	471.33	455.65	NaN	342.33	289.08	NaN
523.46	281.16	NaN	239.02	270.34	NaN	375.25	48.459	NaN	473.69	455.45	NaN	349.27	294.12	NaN
524.11	278.28	NaN	242.63	264.77	NaN	372.94	50.774	NaN	478.76	454.8	NaN	353.76	297.43	NaN
523.26	276.19	NaN	245.64	260.33	NaN	371.73	52.341	NaN	480.58	454.71	NaN	361.17	303.29	NaN
516.36	271.54	NaN	248.59	255.93	NaN	371.22	53.494	NaN	483.04	454.83	NaN	366.08	307.22	NaN
506.27	264.52	NaN	250.98	252.33	NaN	371.12	53.814	NaN	487.97	455.35	NaN	371.52	311.6	NaN
494.6	257.12	NaN	253.41	249	NaN	370.83	54.646	NaN	491.44	456.6	NaN	375.73	315.23	NaN
482.47	251.42	NaN	255.54	246.18	NaN	371.5	56.073	NaN	495.72	458.58	NaN	379.59	318.47	NaN
470.39	244.76	NaN	256.96	244.17	NaN	372.35	56.464	NaN	499.57	460.25	NaN	383.82	321.79	NaN
461.12	239.88	NaN	258.69	241.22	NaN	374.19	58.056	NaN	503.27	461.9	NaN	387.18	324.58	NaN
450.44	234.44	NaN	260.01	238.61	NaN	377.33	60.207	NaN	507	463.57	NaN	389.94	326.8	NaN
441.81	229.75	NaN	260.93	236.25	NaN	378.65	59.6	NaN	510.75	465.46	NaN	393.04	328.33	NaN
432.2	224.81	NaN	260.62	233.63	NaN	380.51	59.622	NaN	513.34	466.75	NaN	395.77	328.05	NaN
425.51	221.4	NaN	259.66	231.45	NaN	381.35	59.115	NaN	516.64	468.03	NaN	399.49	326.54	NaN
417.78	217.3	NaN	258.41	226.91	NaN	383.13	58.394	NaN	520.45	469.49	NaN	402.84	324.84	NaN
409.75	213.14	NaN	257.51	223.29	NaN	383.55	58.055	NaN	523.07	470.37	NaN	405.52	323.18	NaN
404.97	210.68	NaN	256.51	219.73	NaN	384.06	57.28	NaN	525.95	471.45	NaN	409.03	320.59	NaN
398.73	207.47	NaN	255.72	217.99	NaN	385.39	56.783	NaN	528.88	472.47	NaN	412.03	318.71	NaN
391.33	203.75	NaN	255.41	216.06	NaN	387.34	55.849	NaN	531.48	473.39	NaN	414.96	317.07	NaN
386.69	201.93	NaN	255.74	214.52	NaN	389.46	54.271	NaN	534.43	474.51	NaN	416.66	315.9	NaN
377.9	202.44	NaN	255.99	212.71	NaN	391.12	52.986	NaN	537.05	475.6	NaN	419.61	313.69	NaN
369.51	204.58	NaN	256.57	210.89	NaN	393.2	51.333	NaN	538.97	476.39	NaN	421.68	312.22	NaN
361.41	206.38	NaN	258.54	207.61	NaN	394.52	50.37	NaN	542.1	477.52	NaN	426.56	310.93	NaN
353.93	208.13	NaN	258.68	206.68	NaN	395.51	49.627	NaN	547.56	475.52	NaN	429.86	311.42	NaN
346.34	210.07	NaN	260.4	203.31	NaN	397.59	47.942	NaN	557.25	470.92	NaN	437.01	312.45	NaN
340.35	211.6	NaN	261.33	200.51	NaN	399.59	46.435	NaN	565.96	467.47	NaN	442.36	313.38	NaN
335.04	213.44	NaN	262.29	197.47	NaN	401.54	45.359	NaN	574.15	463.8	NaN	447.9	314.52	NaN
330.87	214.93	NaN	263.26	194.86	NaN	405.3	44.369	NaN	581.89	460.04	NaN	451.14	315.3	NaN
326.77	216.66	NaN	263.94	192.44	NaN	409.01	43.312	NaN	588.56	456.9	NaN	455.09	315.9	NaN
323.17	218.17	NaN	264.67	189.61	NaN	412.47	42.481	NaN	594.51	454.06	NaN	458.51	315.85	NaN
