X1	Y1	ProbId1	
508.49	714.42	NaN
511.49	713.79	NaN
510.1	714.26	NaN
507.37	714.06	NaN
508.23	713.98	NaN
503.39	714.09	NaN
504.64	714.08	NaN
496.7	715.52	NaN
497.18	715.69	NaN
NaN	NaN	NaN
NaN	NaN	NaN
485.33	717.33	NaN
482.32	717.83	NaN
475.96	718.73	NaN
472.13	719.3	NaN
451.46	722.66	NaN
447.56	723.97	NaN
442.98	724.73	NaN
460.99	721.12	NaN
457.01	721.56	NaN
452.06	722.89	NaN
456.28	722.31	NaN
446	723.71	NaN
452.69	721.68	NaN
453.96	720.97	NaN
448.6	722.03	NaN
424.1	726.13	NaN
440.59	723.04	NaN
416.26	727.25	NaN
428.67	725.14	NaN
422.47	726.48	NaN
420.61	726.37	NaN
421.81	726.31	NaN
NaN	NaN	NaN
NaN	NaN	NaN
411.87	727.58	NaN
405.07	728.36	NaN
400.53	728.85	NaN
399.2	728.74	NaN
389.61	729.8	NaN
386.18	730.09	NaN
395.06	729.04	NaN
402.39	727.67	NaN
395.46	729.37	NaN
392.5	729.84	NaN
NaN	NaN	NaN
NaN	NaN	NaN
384.28	730.63	NaN
382.99	730.24	NaN
381.47	730.31	NaN
381.52	729.99	NaN
378.84	730.55	NaN
375.54	731.27	NaN
376.8	730.44	NaN
373.77	730.84	NaN
375.03	730.46	NaN
369.15	731.64	NaN
NaN	NaN	NaN
NaN	NaN	NaN
364.74	731.65	NaN
357.7	733.03	NaN
357.09	732.81	NaN
351.83	733.77	NaN
354.88	732.85	NaN
350.45	733.34	NaN
352.82	732.85	NaN
350.41	733.31	NaN
348.87	733.49	NaN
347.74	733.54	NaN
NaN	NaN	NaN
NaN	NaN	NaN
343.44	733.39	NaN
342.22	733.45	NaN
340.1	733.43	NaN
335.62	734.01	NaN
337.19	733.8	NaN
336.11	733.96	NaN
330.94	734.44	NaN
332.35	734	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
322.12	734.46	NaN
320.63	734.57	NaN
321.21	734.2	NaN
319.12	734.04	NaN
317.29	734.57	NaN
316.48	734.67	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
307.62	734.84	NaN
308.14	734.52	NaN
304.69	734.9	NaN
305.11	734.63	NaN
300.23	735.26	NaN
296.43	735.86	NaN
299.6	735.34	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
298.92	734.54	NaN
293.18	735.4	NaN
290.5	735.72	NaN
290.16	735.56	NaN
288.65	735.58	NaN
