X1	Y1	ProbId1	
228.51	329.65	NaN
228.51	329.68	NaN
230.3	326.82	NaN
230.3	326.82	NaN
232.69	326.26	NaN
232.69	326.26	NaN
235.51	325.79	NaN
238.23	324.14	NaN
238.23	324.14	NaN
242.44	322.45	NaN
245.57	320.78	NaN
245.57	320.78	NaN
247.5	319.8	NaN
247.5	319.8	NaN
250.57	320.17	NaN
250.57	320.17	NaN
252.39	321.66	NaN
253.8	322.36	NaN
253.8	322.36	NaN
254.39	323.31	NaN
255.9	323.82	NaN
255.98	323.8	NaN
258.77	324.25	NaN
258.82	324.26	NaN
261.71	325.54	NaN
261.68	325.55	NaN
262.12	327.45	NaN
261.86	328.14	NaN
261.86	328.14	NaN
260.81	327.36	NaN
260.19	327.54	NaN
260.19	327.54	NaN
259.24	328.55	NaN
259.26	328.55	NaN
258.02	329.06	NaN
257.86	329.65	NaN
257.79	329.65	NaN
257.64	329.67	NaN
257.64	329.64	NaN
257.64	329.64	NaN
257.72	329.71	NaN
257.72	329.71	NaN
257.04	330.25	NaN
257.12	330.37	NaN
256.41	330.69	NaN
256.11	331.06	NaN
256.07	331.09	NaN
255.73	331	NaN
255.69	331.02	NaN
255.72	331.3	NaN
255.6	331.17	NaN
255.51	331.16	NaN
255.4	331.09	NaN
255.3	331.2	NaN
255.15	331.06	NaN
255.01	331.11	NaN
255.03	331.11	NaN
254.93	331.05	NaN
254.93	331.09	NaN
254.88	331.24	NaN
254.71	331.41	NaN
254.71	331.41	NaN
254.74	331.51	NaN
254.74	331.51	NaN
254.52	331.44	NaN
253.54	332.01	NaN
253.55	331.97	NaN
251.68	331.57	NaN
251.68	331.57	NaN
251.63	331.58	NaN
249.72	333.14	NaN
249.7	333.21	NaN
248.5	332.76	NaN
247.56	331.29	NaN
247.56	331.29	NaN
246.64	330.43	NaN
246.71	330.23	NaN
246.04	329.19	NaN
246.17	329.2	NaN
245.57	329.11	NaN
244.4	328.71	NaN
244.41	328.64	NaN
242.77	328.2	NaN
240.34	327.98	NaN
240.34	327.98	NaN
238.5	327.38	NaN
238.5	327.38	NaN
239.6	325.12	NaN
239.6	325.12	NaN
241.65	323.09	NaN
242.23	321.92	NaN
242.23	321.92	NaN
243.03	321.72	NaN
243.28	321.7	NaN
243.28	321.7	NaN
243.4	321.5	NaN
243.4	321.5	NaN
243.44	321.2	NaN
243.24	321.24	NaN
