,frame,pos_x,pos_y,id
0,1.0,435.40441176470586,147.90441176470588,A
1,1.0,676.4862155388471,148.6065162907268,B
2,1.0,333.88461538461536,454.8952991452991,C
3,1.0,691.3333333333333,746.6321839080459,D
4,2.0,435.40441176470586,147.90441176470588,A
5,2.0,676.5631313131313,148.55555555555554,B
6,2.0,335.26337448559667,455.3333333333333,C
7,2.0,691.492816091954,746.6364942528735,D
8,3.0,435.40441176470586,147.90441176470588,A
9,3.0,676.5631313131313,148.55555555555554,B
10,3.0,336.517094017094,456.1324786324786,C
11,3.0,691.4202279202278,746.6438746438746,D
12,4.0,435.36567164179104,147.8507462686567,A
13,4.0,676.5631313131313,148.55555555555554,B
14,4.0,338.9156626506024,456.3895582329317,C
15,4.0,691.4202279202278,746.6438746438746,D
16,5.0,435.40441176470586,147.90441176470588,A
17,5.0,676.5631313131313,148.55555555555554,B
18,5.0,340.55136268343813,457.12997903563934,C
19,5.0,691.3333333333333,746.6321839080459,D
20,6.0,435.40441176470586,147.90441176470588,A
21,6.0,676.5631313131313,148.55555555555554,B
22,6.0,341.9529652351738,458.4601226993865,C
23,6.0,691.492816091954,746.6364942528735,D
24,7.0,435.40441176470586,147.90441176470588,A
25,7.0,676.5631313131313,148.55555555555554,B
26,7.0,343.90909090909093,459.7535353535353,C
27,7.0,691.4202279202278,746.6438746438746,D
28,8.0,435.40441176470586,147.90441176470588,A
29,8.0,676.5631313131313,148.55555555555554,B
30,8.0,346.13953488372096,459.8817829457364,C
31,8.0,691.3333333333333,746.6321839080459,D
32,9.0,435.40441176470586,147.90441176470588,A
33,9.0,676.5631313131313,148.55555555555554,B
34,9.0,349.9567901234568,460.9238683127571,C
35,9.0,691.3333333333333,746.6321839080459,D
36,10.0,435.40441176470586,147.90441176470588,A
37,10.0,676.5631313131313,148.55555555555554,B
38,10.0,352.6835443037975,461.6244725738396,C
39,10.0,691.492816091954,746.6364942528735,D
40,11.0,435.40441176470586,147.90441176470588,A
41,11.0,676.5631313131313,148.55555555555554,B
42,11.0,355.7447257383966,462.25105485232064,C
43,11.0,691.3333333333333,746.6321839080459,D
44,12.0,435.3673965936739,147.90997566909974,A
45,12.0,676.5631313131313,148.55555555555554,B
46,12.0,359.00416666666666,461.65,C
47,12.0,691.4202279202278,746.6438746438746,D
48,13.0,435.3673965936739,147.90997566909974,A
49,13.0,676.5631313131313,148.55555555555554,B
50,13.0,362.8279569892473,461.64731182795697,C
